Buggy Code,Fixed Code,Bug Type,Severity,Frequency,Programming Language
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",IndexError,Low,402,Python
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",NameError,High,433,Python
printf('Hello'),printf('Hello');,LogicalError,Critical,56,C
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",IndexError,High,336,Python
console.log('Hello'),console.log('Hello');,NameError,Low,81,JavaScript
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",IndentationError,Critical,397,Java
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",TypeError,High,395,C++
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",NameError,Critical,321,Python
for i in range(10) print(i),for i in range(10): print(i),LogicalError,High,345,Python
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",IndexError,High,483,Python
for i in range(10) print(i),for i in range(10): print(i),SyntaxError,Low,463,Python
printf('Hello'),printf('Hello');,IndentationError,Medium,198,C
for i in range(10) print(i),for i in range(10): print(i),TypeError,High,464,Python
console.log('Hello'),console.log('Hello');,AttributeError,High,333,JavaScript
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",SyntaxError,Low,323,Python
for i in range(10) print(i),for i in range(10): print(i),LogicalError,Critical,348,Python
for i in range(10) print(i),for i in range(10): print(i),LogicalError,Medium,163,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",TypeError,High,122,C++
for i in range(10) print(i),for i in range(10): print(i),LogicalError,Low,280,Python
for i in range(10) print(i),for i in range(10): print(i),IndexError,Low,461,Python
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",SyntaxError,High,220,Python
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",TypeError,Critical,449,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",LogicalError,Low,373,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",AttributeError,Medium,341,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",NameError,High,360,Java
printf('Hello'),printf('Hello');,IndexError,High,231,C
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",SyntaxError,High,183,C++
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",NameError,Medium,117,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",NameError,Medium,317,Java
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",LogicalError,Medium,68,Python
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",LogicalError,Critical,166,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",AttributeError,Low,289,C++
printf('Hello'),printf('Hello');,AttributeError,Critical,252,C
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",AttributeError,Medium,144,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",SyntaxError,Low,467,C++
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",LogicalError,Critical,375,C++
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",IndexError,Critical,91,Python
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",TypeError,High,231,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",NameError,Critical,326,Java
console.log('Hello'),console.log('Hello');,TypeError,Medium,161,JavaScript
for i in range(10) print(i),for i in range(10): print(i),NameError,Critical,111,Python
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",AttributeError,Medium,77,Python
printf('Hello'),printf('Hello');,SyntaxError,High,57,C
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",TypeError,Low,487,Java
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",TypeError,Medium,274,C++
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",TypeError,Critical,473,Python
console.log('Hello'),console.log('Hello');,IndexError,Low,269,JavaScript
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",TypeError,Critical,384,Python
for i in range(10) print(i),for i in range(10): print(i),SyntaxError,High,410,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",NameError,Critical,238,Python
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",TypeError,Critical,374,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",IndexError,Critical,283,C++
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",IndentationError,High,66,C++
printf('Hello'),printf('Hello');,TypeError,Critical,423,C
console.log('Hello'),console.log('Hello');,TypeError,High,122,JavaScript
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",SyntaxError,Critical,101,Java
console.log('Hello'),console.log('Hello');,LogicalError,Low,66,JavaScript
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",AttributeError,High,386,C++
printf('Hello'),printf('Hello');,IndexError,Low,60,C
for i in range(10) print(i),for i in range(10): print(i),NameError,Medium,68,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",AttributeError,Critical,245,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",IndentationError,Critical,72,C++
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",IndexError,Medium,459,Python
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",IndentationError,Medium,136,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",AttributeError,Critical,330,Python
console.log('Hello'),console.log('Hello');,LogicalError,Low,130,JavaScript
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",NameError,Medium,416,Python
for i in range(10) print(i),for i in range(10): print(i),TypeError,Medium,402,Python
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",LogicalError,Low,401,Python
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",AttributeError,Medium,420,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",IndexError,High,176,Java
printf('Hello'),printf('Hello');,IndentationError,High,307,C
printf('Hello'),printf('Hello');,LogicalError,High,101,C
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",AttributeError,High,95,Java
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",IndentationError,Low,472,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",NameError,High,452,Python
printf('Hello'),printf('Hello');,NameError,Critical,186,C
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",TypeError,Medium,345,Python
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",AttributeError,High,216,Python
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",IndexError,Critical,232,Python
console.log('Hello'),console.log('Hello');,IndentationError,Critical,95,JavaScript
printf('Hello'),printf('Hello');,LogicalError,Medium,261,C
console.log('Hello'),console.log('Hello');,TypeError,Critical,357,JavaScript
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",TypeError,Medium,146,C++
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",AttributeError,High,374,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",IndentationError,Critical,155,Java
printf('Hello'),printf('Hello');,NameError,Low,382,C
printf('Hello'),printf('Hello');,AttributeError,Low,236,C
printf('Hello'),printf('Hello');,NameError,High,404,C
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",AttributeError,High,465,C++
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",AttributeError,Low,359,C++
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",TypeError,High,55,C++
console.log('Hello'),console.log('Hello');,AttributeError,Medium,89,JavaScript
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",NameError,Critical,130,Python
printf('Hello'),printf('Hello');,TypeError,Low,220,C
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",SyntaxError,Critical,332,Python
for i in range(10) print(i),for i in range(10): print(i),LogicalError,High,196,Python
for i in range(10) print(i),for i in range(10): print(i),IndentationError,High,114,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",NameError,Critical,231,Java
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",TypeError,Critical,461,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",TypeError,High,283,C++
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",SyntaxError,Low,63,Java
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",IndexError,Medium,351,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",IndentationError,Medium,222,Python
for i in range(10) print(i),for i in range(10): print(i),IndentationError,Low,382,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",SyntaxError,High,410,C++
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",IndexError,Medium,187,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",IndexError,Low,57,Java
console.log('Hello'),console.log('Hello');,TypeError,Medium,195,JavaScript
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",IndentationError,Low,446,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",SyntaxError,Critical,135,C++
console.log('Hello'),console.log('Hello');,IndexError,Low,355,JavaScript
printf('Hello'),printf('Hello');,LogicalError,Critical,186,C
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",SyntaxError,Low,226,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",AttributeError,Low,467,C++
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",AttributeError,Critical,355,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",TypeError,Critical,215,C++
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",LogicalError,Medium,483,Java
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",IndexError,High,62,Python
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",AttributeError,Low,321,Python
for i in range(10) print(i),for i in range(10): print(i),IndexError,High,371,Python
console.log('Hello'),console.log('Hello');,SyntaxError,Medium,64,JavaScript
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",IndexError,High,224,Python
console.log('Hello'),console.log('Hello');,IndentationError,Critical,464,JavaScript
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",IndexError,Critical,105,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",SyntaxError,Medium,364,Python
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",IndexError,Critical,80,Python
console.log('Hello'),console.log('Hello');,IndentationError,Medium,268,JavaScript
printf('Hello'),printf('Hello');,LogicalError,High,93,C
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",LogicalError,Critical,256,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",SyntaxError,High,269,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",SyntaxError,Low,387,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",TypeError,Medium,279,Python
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",IndexError,Medium,356,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",AttributeError,Medium,244,Java
for i in range(10) print(i),for i in range(10): print(i),AttributeError,Critical,384,Python
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",NameError,Low,464,Python
for i in range(10) print(i),for i in range(10): print(i),SyntaxError,Medium,294,Python
printf('Hello'),printf('Hello');,AttributeError,Critical,331,C
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",IndexError,High,366,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",SyntaxError,High,75,Java
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",TypeError,Low,490,Python
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",AttributeError,High,467,Python
printf('Hello'),printf('Hello');,NameError,Critical,425,C
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",IndexError,Low,312,Java
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",TypeError,Critical,340,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",IndentationError,Low,371,Java
printf('Hello'),printf('Hello');,IndexError,Medium,272,C
printf('Hello'),printf('Hello');,TypeError,Low,460,C
console.log('Hello'),console.log('Hello');,SyntaxError,Low,482,JavaScript
for i in range(10) print(i),for i in range(10): print(i),SyntaxError,Critical,202,Python
for i in range(10) print(i),for i in range(10): print(i),IndexError,Medium,333,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",AttributeError,Medium,317,Python
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",NameError,Critical,180,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",AttributeError,High,429,Java
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",IndexError,High,201,Python
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",IndentationError,High,50,Python
for i in range(10) print(i),for i in range(10): print(i),LogicalError,Low,356,Python
for i in range(10) print(i),for i in range(10): print(i),NameError,Medium,232,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",LogicalError,Critical,270,Java
console.log('Hello'),console.log('Hello');,AttributeError,Critical,196,JavaScript
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",NameError,High,234,Python
printf('Hello'),printf('Hello');,SyntaxError,Critical,363,C
printf('Hello'),printf('Hello');,IndexError,High,363,C
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",SyntaxError,Medium,128,Python
for i in range(10) print(i),for i in range(10): print(i),SyntaxError,Critical,395,Python
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",NameError,Low,304,Python
console.log('Hello'),console.log('Hello');,TypeError,Critical,312,JavaScript
printf('Hello'),printf('Hello');,IndexError,Critical,145,C
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",IndentationError,Low,78,C++
for i in range(10) print(i),for i in range(10): print(i),TypeError,Critical,320,Python
console.log('Hello'),console.log('Hello');,LogicalError,Medium,386,JavaScript
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",AttributeError,Critical,81,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",NameError,High,78,C++
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",NameError,Medium,161,Python
for i in range(10) print(i),for i in range(10): print(i),IndentationError,High,99,Python
for i in range(10) print(i),for i in range(10): print(i),IndentationError,Low,200,Python
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",IndexError,Medium,371,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",LogicalError,Low,214,Java
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",AttributeError,Medium,155,C++
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",TypeError,High,440,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",NameError,Critical,200,C++
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",NameError,High,339,Python
console.log('Hello'),console.log('Hello');,LogicalError,Medium,322,JavaScript
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",IndentationError,Low,306,Python
printf('Hello'),printf('Hello');,LogicalError,Critical,309,C
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",SyntaxError,Low,403,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",LogicalError,Medium,213,Java
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",SyntaxError,Critical,227,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",LogicalError,High,71,Python
console.log('Hello'),console.log('Hello');,IndentationError,Medium,471,JavaScript
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",IndentationError,Critical,474,Java
printf('Hello'),printf('Hello');,NameError,Critical,314,C
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",AttributeError,Low,104,Java
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",AttributeError,Medium,186,C++
console.log('Hello'),console.log('Hello');,TypeError,Medium,243,JavaScript
console.log('Hello'),console.log('Hello');,TypeError,Medium,307,JavaScript
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",IndexError,Critical,132,C++
for i in range(10) print(i),for i in range(10): print(i),AttributeError,Critical,459,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",IndentationError,High,423,Java
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",SyntaxError,Critical,205,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",NameError,Medium,76,C++
printf('Hello'),printf('Hello');,IndentationError,Medium,239,C
printf('Hello'),printf('Hello');,NameError,Low,371,C
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",NameError,High,377,Python
for i in range(10) print(i),for i in range(10): print(i),AttributeError,Medium,116,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",TypeError,Critical,456,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",LogicalError,Critical,463,Java
printf('Hello'),printf('Hello');,AttributeError,Low,445,C
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",TypeError,Critical,473,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",SyntaxError,Critical,486,Java
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",AttributeError,Critical,460,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",TypeError,High,185,Python
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",IndexError,Medium,459,Python
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",LogicalError,Medium,142,Python
for i in range(10) print(i),for i in range(10): print(i),TypeError,High,88,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",IndentationError,High,400,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",AttributeError,Critical,83,C++
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",IndentationError,Low,274,Python
console.log('Hello'),console.log('Hello');,IndexError,Critical,193,JavaScript
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",IndexError,Critical,341,Java
for i in range(10) print(i),for i in range(10): print(i),IndentationError,Medium,62,Python
for i in range(10) print(i),for i in range(10): print(i),TypeError,Critical,458,Python
for i in range(10) print(i),for i in range(10): print(i),IndexError,Medium,163,Python
for i in range(10) print(i),for i in range(10): print(i),LogicalError,Low,259,Python
for i in range(10) print(i),for i in range(10): print(i),AttributeError,Critical,172,Python
console.log('Hello'),console.log('Hello');,SyntaxError,Medium,310,JavaScript
for i in range(10) print(i),for i in range(10): print(i),SyntaxError,High,84,Python
printf('Hello'),printf('Hello');,LogicalError,High,219,C
console.log('Hello'),console.log('Hello');,TypeError,High,67,JavaScript
for i in range(10) print(i),for i in range(10): print(i),NameError,Low,498,Python
console.log('Hello'),console.log('Hello');,LogicalError,Low,396,JavaScript
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",NameError,Critical,186,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",AttributeError,High,191,Java
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",TypeError,High,412,Java
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",SyntaxError,Medium,311,Java
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",SyntaxError,Critical,442,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",LogicalError,High,238,Java
console.log('Hello'),console.log('Hello');,IndentationError,High,493,JavaScript
for i in range(10) print(i),for i in range(10): print(i),AttributeError,High,331,Python
for i in range(10) print(i),for i in range(10): print(i),IndentationError,Medium,192,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",IndentationError,High,387,C++
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",IndentationError,Medium,336,Java
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",IndexError,Medium,244,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",NameError,Critical,262,C++
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",NameError,Critical,164,Java
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",LogicalError,Medium,139,Java
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",TypeError,Critical,248,C++
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",SyntaxError,Low,495,Python
printf('Hello'),printf('Hello');,LogicalError,Medium,365,C
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",LogicalError,Low,311,Python
for i in range(10) print(i),for i in range(10): print(i),TypeError,High,429,Python
for i in range(10) print(i),for i in range(10): print(i),TypeError,Medium,308,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",SyntaxError,High,207,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",TypeError,Medium,172,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",NameError,Low,127,C++
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",LogicalError,Low,55,Java
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",SyntaxError,Critical,156,Python
for i in range(10) print(i),for i in range(10): print(i),IndexError,High,105,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",IndentationError,Medium,163,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",IndentationError,Medium,288,Java
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",NameError,High,186,Python
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",LogicalError,Medium,132,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",AttributeError,Low,58,Python
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",NameError,High,474,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",NameError,High,287,C++
for i in range(10) print(i),for i in range(10): print(i),NameError,Medium,94,Python
printf('Hello'),printf('Hello');,TypeError,High,402,C
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",AttributeError,Critical,312,Java
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",TypeError,Medium,416,Python
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",LogicalError,Critical,72,Python
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",NameError,High,317,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",NameError,Low,197,C++
printf('Hello'),printf('Hello');,AttributeError,High,413,C
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",AttributeError,High,239,Python
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",TypeError,Low,315,Python
console.log('Hello'),console.log('Hello');,SyntaxError,Medium,164,JavaScript
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",NameError,Medium,180,C++
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",NameError,Low,465,C++
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",SyntaxError,High,453,Python
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",AttributeError,Critical,326,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",LogicalError,Medium,480,C++
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",SyntaxError,Low,207,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",IndexError,Medium,480,Java
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",IndentationError,High,242,Python
console.log('Hello'),console.log('Hello');,LogicalError,Critical,440,JavaScript
printf('Hello'),printf('Hello');,TypeError,High,353,C
for i in range(10) print(i),for i in range(10): print(i),IndexError,High,276,Python
console.log('Hello'),console.log('Hello');,SyntaxError,Medium,161,JavaScript
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",SyntaxError,Critical,276,Python
